year,no_of_accounts,total_balance,average_balance,amount_withdrawn
2006,2700000,36.9,13600,445
2007,2800000,39.3,14100,517
2008,2900000,42.4,14900,558
2009,2900000,45.8,15700,601
2010,3000000,50.2,16900,678
2011,3000000,54.8,18200,722
2012,3100000,60,19400,767
2013,3200000,64.9,20600,799
2014,3200000,70.5,21800,852
